TABLE  ,LTM_Filter_n1.5_to_Air,,,,
WAVE,0.74,0.14638,0.17055,9.68E-15,3.32E-14
WAVE,0.76,0.15713,0.1815,1.99E-14,6.74E-14
WAVE,0.78,0.16676,0.19104,4.86E-14,1.63E-13
WAVE,0.8,0.17393,0.19773,1.47E-13,4.87E-13
WAVE,0.82,0.18107,0.20503,4.05E-13,1.34E-12
WAVE,0.84,0.18931,0.21368,9.99E-13,3.28E-12
WAVE,0.86,0.19833,0.22346,2.17E-12,7.11E-12
WAVE,0.88,0.20807,0.23471,3.92E-12,1.28E-11
WAVE,0.9,0.21953,0.24846,5.11E-12,1.68E-11
WAVE,0.92,0.23207,0.26371,5.68E-12,1.87E-11
WAVE,0.94,0.24651,0.28161,4.24E-12,1.41E-11
WAVE,0.96,0.26038,0.29856,3.21E-12,1.07E-11
WAVE,0.98,0.27259,0.31298,2.46E-12,8.19E-12
WAVE,1,0.28461,0.32705,1.98E-12,6.60E-12
ANGL,40,,,,
WAVE,0.3,0.025026,0.30088,3.86E-15,6.86E-14
WAVE,0.32,0.0045986,0.17373,2.64E-15,5.43E-14
WAVE,0.34,0.0069406,0.10845,2.06E-15,4.56E-14
WAVE,0.36,0.015428,0.077389,1.62E-15,3.74E-14
WAVE,0.38,0.028129,0.06882,1.47E-15,3.48E-14
WAVE,0.4,0.041784,0.063745,1.29E-15,3.14E-14
WAVE,0.42,0.05465,0.061726,1.15E-15,2.86E-14
WAVE,0.44,0.065114,0.061653,1.05E-15,2.65E-14
WAVE,0.46,0.071667,0.060757,9.57E-16,2.47E-14
WAVE,0.48,0.074519,0.058118,8.54E-16,2.24E-14
WAVE,0.5,0.073039,0.05551,8.19E-16,2.16E-14
WAVE,0.52,0.072394,0.056145,7.78E-16,2.07E-14
WAVE,0.54,0.068778,0.05513,7.72E-16,2.06E-14
WAVE,0.56,0.069239,0.061856,7.59E-16,2.02E-14
WAVE,0.58,0.074409,0.076496,8.22E-16,2.16E-14
WAVE,0.6,0.083609,0.095176,9.23E-16,2.40E-14
WAVE,0.62,0.096417,0.11659,1.01E-15,2.60E-14
WAVE,0.64,0.11256,0.139,1.15E-15,2.93E-14
WAVE,0.66,0.12959,0.1612,1.31E-15,3.31E-14
WAVE,0.68,0.14677,0.18246,1.44E-15,3.60E-14
WAVE,0.7,0.16272,0.20161,1.67E-15,4.14E-14
WAVE,0.72,0.17746,0.21863,2.07E-15,5.04E-14
WAVE,0.74,0.1904,0.23231,3.26E-15,7.78E-14
WAVE,0.76,0.20137,0.24285,6.74E-15,1.57E-13
WAVE,0.78,0.21114,0.25166,1.66E-14,3.78E-13
WAVE,0.8,0.21834,0.25724,5.04E-14,1.12E-12
WAVE,0.82,0.22543,0.26407,1.40E-13,3.06E-12
WAVE,0.84,0.23361,0.2725,3.46E-13,7.48E-12
WAVE,0.86,0.24254,0.28241,7.53E-13,1.62E-11
WAVE,0.88,0.25213,0.29452,1.36E-12,2.94E-11
WAVE,0.9,0.26339,0.30984,1.77E-12,3.88E-11
WAVE,0.92,0.2757,0.32704,1.97E-12,4.39E-11
WAVE,0.94,0.28988,0.34758,1.47E-12,3.37E-11
WAVE,0.96,0.30349,0.36675,1.11E-12,2.60E-11
WAVE,0.98,0.31547,0.38253,8.56E-13,2.02E-11
WAVE,1,0.32726,0.39778,6.91E-13,1.65E-11
ANGL,50,,,,
WAVE,0.3,0.033788,0.19215,0,0
WAVE,0.32,0.055897,0.13954,0,0
WAVE,0.34,0.075347,0.11857,0,0
WAVE,0.36,0.089856,0.11181,0,0
WAVE,0.38,0.10607,0.11868,0,0
