TABLE  ,LTM_Filter,,,,
WAVE,0.86,0.11031,0.12,4.49E-07,9.54E-07
WAVE,0.88,0.11747,0.1263,5.93E-07,1.29E-06
WAVE,0.9,0.1248,0.13407,7.13E-07,1.53E-06
WAVE,0.92,0.13262,0.14296,7.73E-07,1.65E-06
WAVE,0.94,0.14149,0.15389,6.19E-07,1.39E-06
WAVE,0.96,0.15084,0.16476,5.38E-07,1.21E-06
WAVE,0.98,0.16024,0.17463,5.04E-07,1.09E-06
WAVE,1,0.16993,0.18455,4.27E-07,9.53E-07
,,,,,
,,,,,
ANGL,60,,,,
WAVE,0.3,0.077301,0.29506,1.00E-07,3.46E-07
WAVE,0.32,0.11195,0.11741,5.57E-08,2.35E-07
WAVE,0.34,0.11642,0.038127,4.00E-08,1.69E-07
WAVE,0.36,0.09969,0.01087,3.05E-08,1.23E-07
WAVE,0.38,0.081947,0.0046333,2.56E-08,1.00E-07
WAVE,0.4,0.056977,0.012091,2.31E-08,8.21E-08
WAVE,0.42,0.031314,0.026142,2.03E-08,6.77E-08
WAVE,0.44,0.011639,0.041037,1.76E-08,5.71E-08
WAVE,0.46,0.0019286,0.053567,1.55E-08,4.88E-08
WAVE,0.48,0.0046538,0.062741,1.40E-08,4.24E-08
WAVE,0.5,0.018737,0.066085,1.24E-08,3.84E-08
WAVE,0.52,0.037573,0.067821,1.11E-08,3.51E-08
WAVE,0.54,0.061249,0.066289,1.12E-08,3.43E-08
WAVE,0.56,0.077589,0.065452,1.04E-08,3.27E-08
WAVE,0.58,0.08444,0.066748,1.02E-08,3.33E-08
WAVE,0.6,0.087019,0.071535,1.17E-08,3.58E-08
WAVE,0.62,0.087686,0.079989,1.17E-08,3.66E-08
WAVE,0.64,0.089097,0.092293,1.29E-08,3.90E-08
WAVE,0.66,0.091815,0.10591,1.33E-08,4.08E-08
WAVE,0.68,0.096544,0.12015,1.39E-08,4.21E-08
WAVE,0.7,0.10302,0.13349,1.51E-08,4.49E-08
WAVE,0.72,0.11082,0.14584,1.66E-08,4.92E-08
WAVE,0.74,0.12047,0.15657,2.11E-08,6.14E-08
WAVE,0.76,0.13126,0.16536,3.14E-08,8.88E-08
