0.64,0.071817,0.085764,3.5897e-15,1.2876e-14
0.66,0.087777,0.10483,4.055e-15,1.4419e-14
0.68,0.10407,0.12367,4.3995e-15,1.5517e-14
0.7,0.11941,0.14111,5.0696e-15,1.773e-14
0.72,0.13375,0.15709,6.2087e-15,2.1516e-14
0.74,0.14638,0.17055,9.6837e-15,3.3217e-14
0.76,0.15713,0.1815,1.9868e-14,6.7429e-14
0.78,0.16676,0.19104,4.8556e-14,1.6308e-13
0.8,0.17393,0.19773,1.4651e-13,4.8682e-13
0.82,0.18107,0.20503,4.0534e-13,1.3379e-12
0.84,0.18931,0.21368,9.9899e-13,3.2801e-12
0.86,0.19833,0.22346,2.1735e-12,7.1128e-12
0.88,0.20807,0.23471,3.9207e-12,1.2832e-11
0.9,0.21953,0.24846,5.1142e-12,1.6782e-11
0.92,0.23207,0.26371,5.6795e-12,1.871e-11
0.94,0.24651,0.28161,4.2423e-12,1.4058e-11
0.96,0.26038,0.29856,3.2072e-12,1.067e-11
0.98,0.27259,0.31298,2.4606e-12,8.1895e-12
1,0.28461,0.32705,1.983e-12,6.6004e-12
40,40,40,40,40
40,40,40,40,40
40,40,40,40,40
0.3,0.025026,0.30088,3.862e-15,6.8622e-14
0.32,0.0045986,0.17373,2.6368e-15,5.4255e-14
0.34,0.0069406,0.10845,2.0595e-15,4.5584e-14
0.36,0.015428,0.077389,1.6158e-15,3.735e-14
0.38,0.028129,0.06882,1.4702e-15,3.4782e-14
0.4,0.041784,0.063745,1.2922e-15,3.1362e-14
0.42,0.05465,0.061726,1.1495e-15,2.8568e-14
0.44,0.065114,0.061653,1.0455e-15,2.651e-14
0.46,0.071667,0.060757,9.5682e-16,2.4675e-14
0.48,0.074519,0.058118,8.5412e-16,2.2376e-14
0.5,0.073039,0.05551,8.1902e-16,2.1648e-14
0.52,0.072394,0.056145,7.7825e-16,2.0689e-14
0.54,0.068778,0.05513,7.7218e-16,2.0586e-14
0.56,0.069239,0.061856,7.589e-16,2.0181e-14
0.58,0.074409,0.076496,8.2155e-16,2.1648e-14
0.6,0.083609,0.095176,9.227e-16,2.4043e-14
0.62,0.096417,0.11659,1.0104e-15,2.6048e-14
0.64,0.11256,0.139,1.1488e-15,2.9308e-14
0.66,0.12959,0.1612,1.3123e-15,3.3137e-14
0.68,0.14677,0.18246,1.4386e-15,3.5983e-14
0.7,0.16272,0.20161,1.6741e-15,4.1386e-14
0.72,0.17746,0.21863,2.07e-15,5.0428e-14
0.74,0.1904,0.23231,3.2581e-15,7.7831e-14
0.76,0.20137,0.24285,6.7394e-15,1.5736e-13
0.78,0.21114,0.25166,1.6587e-14,3.7829e-13
0.8,0.21834,0.25724,5.037e-14,1.1194e-12
0.82,0.22543,0.26407,1.3987e-13,3.061e-12
0.84,0.23361,0.2725,3.4562e-13,7.48e-12
0.86,0.24254,0.28241,7.5317e-13,1.6208e-11
0.88,0.25213,0.29452,1.3588e-12,2.9366e-11
0.9,0.26339,0.30984,1.7723e-12,3.8816e-11
0.92,0.2757,0.32704,1.9679e-12,4.388e-11
0.94,0.28988,0.34758,1.4702e-12,3.3654e-11
0.96,0.30349,0.36675,1.1126e-12,2.6002e-11
0.98,0.31547,0.38253,8.5563e-13,2.021e-11
1,0.32726,0.39778,6.9109e-13,1.647e-11
50,50,50,50,50
50,50,50,50,50
50,50,50,50,50
0.3,0.033788,0.19215,0,0
0.32,0.055897,0.13954,0,0
0.34,0.075347,0.11857,0,0
0.36,0.089856,0.11181,0,0
0.38,0.10607,0.11868,0,0
0.4,0.12246,0.12248,0,0
0.42,0.13652,0.12496,0,0
0.44,0.14666,0.12676,0,0
0.46,0.1516,0.12589,0,0
0.48,0.15201,0.12217,0,0
0.5,0.14716,0.11865,0,0
0.52,0.14384,0.11969,0,0
0.54,0.13701,0.11897,0,0
0.56,0.13576,0.12864,0,0
0.58,0.14044,0.14806,0,0
0.6,0.14975,0.17133,0,0
