TABLE  ,LTM_Filter,,,,
WAVE,0.36,0.76201,0.48267,1.08E-238,1.11E-235
WAVE,0.38,0.76388,0.47679,0,0
WAVE,0.4,0.76714,0.46168,0,0
WAVE,0.42,0.76964,0.44245,0,0
WAVE,0.44,0.77031,0.42191,0,0
WAVE,0.46,0.7685,0.39987,0,0
WAVE,0.48,0.76472,0.37703,0,0
WAVE,0.5,0.75782,0.35753,0,0
WAVE,0.52,0.75146,0.34414,0,0
WAVE,0.54,0.74323,0.33107,0,0
WAVE,0.56,0.73681,0.32752,0,0
WAVE,0.58,0.73224,0.33105,0,0
WAVE,0.6,0.72971,0.33617,0,0
WAVE,0.62,0.72924,0.34177,0,0
WAVE,0.64,0.73149,0.34539,0,0
WAVE,0.66,0.73434,0.34803,0,0
WAVE,0.68,0.73761,0.34876,0,0
WAVE,0.7,0.74038,0.34633,0,0
WAVE,0.72,0.74269,0.34058,0,0
WAVE,0.74,0.74473,0.32977,0,0
WAVE,0.76,0.74626,0.31755,0,0
WAVE,0.78,0.74745,0.30683,0,0
WAVE,0.8,0.7478,0.29515,0,0
WAVE,0.82,0.748,0.29532,0,0
WAVE,0.84,0.74867,0.29963,0,0
WAVE,0.86,0.74968,0.30834,0,0
WAVE,0.88,0.75077,0.32574,0,0
WAVE,0.9,0.75233,0.34867,0,0
WAVE,0.92,0.75431,0.37448,0,0
WAVE,0.94,0.75695,0.40481,0,4.9407e-324
WAVE,0.96,0.7595,0.43095,1.4822e-323,2.9621e-319
WAVE,0.98,0.76153,0.44632,2.1997e-318,4.3616e-314
WAVE,1,0.76369,0.46103,6.4189e-314,0.00E+00
